Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Jindal Stainless,JSL,Metals & Mining,Mar 2022,32733,27642,5090,16%,171,344,759,4159.0,25%,3109,58.59,105.0,9718.0,4007.0,8746.0,22576.0,8646.0,525.0,626.0,12779.0,22576.0,1038.0,-985.0,101.0,154.0,70.0,43.0,116.0,98.0,61.0,33.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Coforge,COFORGE,Information Technology,Mar 2022,6432,5330,1102,17%,52,65,227,862.0,17%,715,21.73,61.0,2672.0,490.0,1655.0,4878.0,2067.0,17.0,0.0,2794.0,4878.0,766.0,-963.0,-156.0,-353.0,618.0,79.0,,,79.0,33.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Mahindra Lifespace,MAHLIFE,Real Estate,Mar 2022,394,481,-88,-22%,200,7,7,99.0,-63%,162,7.27,155.0,1634.0,286.0,963.0,3037.0,103.0,3.0,622.0,2308.0,3037.0,-52.0,123.0,12.0,83.0,-53.0,85.0,,,85.0,724.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
HG Infra Engineering,HGINFRA,Ports & Infrastructure,Mar 2022,3751,3040,711,19%,6,118,85,515.0,26%,380,58.31,65.0,1371.0,1184.0,660.0,3280.0,459.0,2.0,0.0,2819.0,3280.0,-322.0,-66.0,293.0,-95.0,-379.0,62.0,37.0,88.0,11.0,64.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Mrs. Bectors Food,BECTORFOOD,FMCG,Mar 2022,988,865,123,12%,6,7,46,76.0,25%,57,1.94,59.0,410.0,136.0,117.0,722.0,411.0,12.0,11.0,288.0,722.0,84.0,-57.0,-30.0,-2.0,25.0,28.0,52.0,38.0,42.0,19.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
HEG,HEG,Metals & Mining,Mar 2022,2201,1670,530,24%,117,7,79,560.0,23%,431,22.33,39.0,3875.0,665.0,730.0,5308.0,763.0,696.0,1171.0,2678.0,5308.0,-141.0,-183.0,344.0,20.0,-499.0,98.0,431.0,197.0,331.0,75.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Insecticides (India),INSECTICID,Agriculture,Mar 2022,1504,1333,171,11%,3,7,26,141.0,24%,107,36.29,20.0,850.0,54.0,473.0,1396.0,253.0,91.0,16.0,1037.0,1396.0,135.0,9.0,-115.0,30.0,68.0,70.0,228.0,117.0,181.0,111.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
DCM Shriram,DCMSHRIRAM,Agriculture,Mar 2022,9627,7831,1796,19%,92,85,238,1565.0,32%,1067,68.45,31.0,5470.0,1577.0,2290.0,9369.0,3408.0,494.0,3.0,5463.0,9369.0,1224.0,-888.0,-275.0,62.0,478.0,34.0,190.0,79.0,145.0,45.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Sun Pharma,SUNPHARMA,Pharmaceuticals,Mar 2022,38654,28397,10258,27%,-3505,127,2144,4481.0,24%,3389,13.64,240.0,47771.0,1290.0,20474.0,69776.0,22665.0,1287.0,12849.0,32975.0,69776.0,8985.0,-5556.0,-5193.0,-1765.0,7550.0,99.0,315.0,158.0,255.0,47.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
HCLTech,HCLTECH,Information Technology,Mar 2022,85651,65122,20529,24%,1067,319,4326,16951.0,20%,13523,49.74,543.0,61371.0,6343.0,20664.0,88921.0,35077.0,129.0,6351.0,47364.0,88921.0,16900.0,1597.0,-14508.0,3989.0,15345.0,88.0,,,88.0,44.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Deepak Fertilisers & Petrochemicals Corporation,DEEPAKFERT,Agriculture,Mar 2022,7663,6307,1356,18%,44,155,233,1013.0,32%,687,56.24,121.0,3764.0,2656.0,2204.0,8744.0,2644.0,2428.0,879.0,2794.0,8744.0,1211.0,-1430.0,221.0,3.0,222.0,30.0,76.0,103.0,3.0,-18.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Jyothy Labs,JYOTHYLAB,FMCG,Mar 2022,2196,1948,248,11%,19,12,58,197.0,19%,159,4.41,37.0,1407.0,171.0,408.0,2023.0,1122.0,8.0,0.0,893.0,2023.0,203.0,-32.0,-167.0,4.0,181.0,24.0,85.0,67.0,41.0,-1.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
NMDC,NMDC,Metals & Mining,Mar 2022,25965,13338,12626,49%,716,39,288,13016.0,27%,9429,10.72,293.0,17725.0,1800.0,5094.0,24912.0,3662.0,1333.0,895.0,19022.0,24912.0,6942.0,-3214.0,-4067.0,-339.0,5743.0,42.0,,,42.0,30.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
National Fertilizers,NFL,Agriculture,Mar 2022,15857,15469,388,2%,26,137,335,-58.0,63%,-95,-1.94,491.0,1589.0,3172.0,5244.0,10496.0,4230.0,138.0,257.0,5870.0,10496.0,-1029.0,-129.0,1145.0,-14.0,-1322.0,65.0,90.0,58.0,97.0,3.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Finolex Cables,FINCABLES,Consumer Durables,Mar 2022,3768,3339,429,11%,398,2,39,787.0,24%,599,39.18,31.0,3891.0,9.0,563.0,4494.0,380.0,87.0,2014.0,2013.0,4494.0,473.0,-378.0,-87.0,8.0,406.0,17.0,80.0,23.0,74.0,159.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Biocon,BIOCON,Pharmaceuticals,Mar 2022,8184,6391,1793,22%,72,68,814,983.0,22%,772,5.4,600.0,7832.0,5147.0,6763.0,20342.0,6569.0,4110.0,1588.0,8074.0,20342.0,1177.0,-1662.0,242.0,-243.0,-746.0,92.0,309.0,216.0,184.0,71.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Rashtriya Chemicals & Fertilizers (RCF),RCF,Agriculture,Mar 2022,12812,11820,992,8%,263,130,184,942.0,25%,702,12.73,552.0,3330.0,2979.0,3698.0,10558.0,2134.0,513.0,935.0,6977.0,10558.0,-592.0,-379.0,599.0,-372.0,-752.0,86.0,138.0,137.0,87.0,16.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Torrent Pharma,TORNTPHARM,Pharmaceuticals,Mar 2022,8508,6077,2431,29%,-288,255,662,1226.0,37%,777,22.97,85.0,5868.0,4070.0,2884.0,12906.0,6423.0,630.0,226.0,5628.0,12906.0,1803.0,-196.0,-1781.0,-174.0,1607.0,70.0,368.0,250.0,188.0,7.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Welspun Corp,WELCORP,Metals & Mining,Mar 2022,6505,6032,473,7%,544,102,255,661.0,33%,444,16.82,130.0,4298.0,2057.0,2684.0,9169.0,2433.0,1261.0,2307.0,3168.0,9169.0,218.0,-201.0,453.0,470.0,-757.0,46.0,78.0,75.0,48.0,-47.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Symphony,SYMPHONY,Consumer Durables,Mar 2022,1039,877,162,16%,40,10,24,168.0,28%,121,17.2,14.0,825.0,254.0,267.0,1361.0,355.0,0.0,500.0,506.0,1361.0,57.0,6.0,-34.0,29.0,48.0,73.0,111.0,95.0,88.0,26.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Brigade Enterprises,BRIGADE,Real Estate,Mar 2022,2999,2229,770,26%,9,444,351,-15.0,331%,-65,2.7,230.0,2680.0,4906.0,7285.0,15101.0,4905.0,541.0,509.0,9147.0,15101.0,1032.0,-971.0,33.0,94.0,824.0,61.0,8486.0,885.0,7662.0,-57.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Godrej Properties,GODREJPROP,Real Estate,Mar 2022,1825,1880,-56,-3%,761,167,21,516.0,32%,351,12.68,139.0,8536.0,5196.0,3932.0,17804.0,183.0,340.0,4883.0,12397.0,17804.0,-452.0,127.0,235.0,-90.0,-592.0,38.0,,,38.0,476.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Kaveri Seed Company,KSCL,Agriculture,Mar 2022,968,765,203,21%,41,0,21,223.0,4%,213,36.43,12.0,1269.0,1.0,596.0,1877.0,242.0,43.0,517.0,1075.0,1877.0,110.0,66.0,-170.0,7.0,63.0,42.0,517.0,156.0,403.0,175.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Prestige Estates,PRESTIGE,Real Estate,Mar 2022,6390,4872,1517,24%,1018,555,471,1509.0,20%,1215,28.69,401.0,8694.0,7412.0,13664.0,30171.0,5858.0,1725.0,772.0,21816.0,30171.0,2140.0,-4016.0,1598.0,-278.0,-130.0,81.0,7470.0,633.0,6918.0,87.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
National Aluminium (NALCO),NATIONALUM,Metals & Mining,Mar 2022,14181,9665,4516,32%,298,23,837,3954.0,25%,2951,16.07,918.0,11634.0,77.0,4646.0,17276.0,7343.0,2235.0,375.0,7322.0,17276.0,3958.0,-2619.0,-1140.0,199.0,2685.0,2.0,324.0,287.0,39.0,-10.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
EID Parry (India),EIDPARRY,Agriculture,Mar 2022,23521,21146,2375,10%,240,152,334,2129.0,26%,1574,51.12,18.0,5308.0,1259.0,9358.0,15943.0,3763.0,160.0,563.0,11456.0,15943.0,2278.0,-1732.0,-499.0,47.0,1845.0,9.0,111.0,114.0,6.0,29.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Mphasis,MPHASIS,Information Technology,Mar 2022,11961,9844,2118,18%,160,74,291,1913.0,25%,1431,76.19,188.0,6755.0,527.0,3214.0,10684.0,3774.0,11.0,1813.0,5087.0,10684.0,1716.0,-271.0,-1389.0,56.0,1597.0,68.0,,,68.0,13.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Newgen Software,NEWGEN,Information Technology,Mar 2022,779,584,195,25%,30,3,18,203.0,19%,164,11.73,70.0,742.0,28.0,264.0,1103.0,230.0,0.0,92.0,781.0,1103.0,143.0,-79.0,-32.0,32.0,130.0,131.0,,,131.0,65.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Container Corporation of India (CONCOR),CONCOR,Ports & Infrastructure,Mar 2022,7653,5904,1748,23%,270,63,561,1394.0,25%,1052,13.85,305.0,10451.0,735.0,1511.0,13002.0,5723.0,755.0,1207.0,5317.0,13002.0,1369.0,-1070.0,-595.0,-296.0,765.0,9.0,,,9.0,-32.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Amber Enterprises India,AMBER,Consumer Durables,Mar 2022,4206,3928,278,7%,30,46,108,154.0,28%,111,32.41,34.0,1701.0,1069.0,2107.0,4910.0,1505.0,128.0,225.0,3051.0,4910.0,241.0,-678.0,555.0,119.0,-167.0,114.0,87.0,176.0,25.0,-30.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Jindal Steel & Power,JINDALSTEL,Metals & Mining,Mar 2022,51166,35607,15559,30%,-1884,1888,2097,9690.0,30%,6766,56.4,101.0,35524.0,13502.0,27517.0,76644.0,45488.0,2538.0,470.0,28147.0,76644.0,16048.0,-2331.0,-15120.0,-1403.0,13176.0,9.0,130.0,94.0,45.0,-1.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Peninsula Land,PENINLAND,Real Estate,Mar 2022,434,342,91,21%,-119,80,3,-110.0,-1%,-111,-3.94,56.0,-161.0,783.0,1266.0,1943.0,22.0,0.0,148.0,1773.0,1943.0,346.0,40.0,-389.0,-3.0,346.0,11.0,2470.0,273.0,2207.0,-590.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
UPL,UPL,Agriculture,Mar 2022,46240,36711,9529,21%,91,2295,2359,4966.0,11%,4437,42.18,153.0,24508.0,26746.0,29196.0,80603.0,36193.0,2501.0,1922.0,39987.0,80603.0,6496.0,-3575.0,-1921.0,1000.0,3931.0,121.0,216.0,274.0,64.0,36.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Oracle Financial Services,OFSS,Information Technology,Mar 2022,5221,2723,2499,48%,134,12,93,2528.0,25%,1889,219.0,43.0,7057.0,83.0,1409.0,8592.0,871.0,4.0,0.0,7717.0,8592.0,1856.0,-138.0,-1733.0,-15.0,1820.0,65.0,,,65.0,37.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Cipla,CIPLA,Pharmaceuticals,Mar 2022,21763,17211,4553,21%,99,106,1052,3493.0,27%,2547,31.19,161.0,20680.0,1056.0,4960.0,26857.0,9683.0,766.0,2551.0,13857.0,26857.0,3326.0,-1858.0,-1600.0,-132.0,2645.0,57.0,230.0,108.0,180.0,95.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
ITC,ITC,FMCG,Mar 2022,60645,40021,20623,34%,1910,60,1732,20740.0,25%,15503,12.37,1232.0,61223.0,249.0,14491.0,77196.0,24232.0,3226.0,24841.0,24898.0,77196.0,15776.0,-2238.0,-13580.0,-43.0,13767.0,15.0,150.0,61.0,104.0,31.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Aegis Logistics,AEGISLOG,Oil & Gas,Mar 2022,4631,4096,535,12%,39,22,79,472.0,18%,385,10.19,35.0,2145.0,835.0,946.0,3961.0,2376.0,253.0,0.0,1333.0,3961.0,280.0,-179.0,-304.0,-203.0,-113.0,58.0,9.0,63.0,3.0,-11.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Zensar Technologies,ZENSARTECH,Information Technology,Mar 2022,4244,3587,656,15%,138,35,185,574.0,27%,422,18.4,45.0,2642.0,335.0,817.0,3840.0,1254.0,1.0,324.0,2260.0,3840.0,336.0,3.0,-183.0,156.0,279.0,69.0,,,69.0,36.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Kajaria Ceramics,KAJARIACER,Consumer Durables,Mar 2022,3705,3093,612,17%,26,13,115,510.0,25%,383,23.68,16.0,2106.0,165.0,699.0,2986.0,1150.0,263.0,0.0,1573.0,2986.0,426.0,-298.0,-120.0,7.0,162.0,51.0,122.0,78.0,94.0,36.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Polycab India,POLYCAB,Consumer Durables,Mar 2022,12204,10940,1264,10%,161,35,202,1188.0,23%,917,60.8,149.0,5394.0,118.0,1750.0,7412.0,1675.0,375.0,773.0,4588.0,7412.0,512.0,-427.0,-201.0,-116.0,-8.0,39.0,86.0,48.0,77.0,67.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Puravankara,PURVA,Real Estate,Mar 2022,955,746,208,22%,427,332,18,286.0,48%,148,6.22,119.0,1923.0,2627.0,3955.0,8623.0,96.0,3.0,82.0,8442.0,8623.0,134.0,525.0,-529.0,131.0,145.0,93.0,,,93.0,580.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Avanti Feeds,AVANTIFEED,Agriculture,Mar 2022,5036,4722,314,6%,54,4,41,324.0,24%,245,16.26,14.0,1882.0,4.0,617.0,2516.0,273.0,40.0,931.0,1272.0,2516.0,-212.0,299.0,-68.0,18.0,-267.0,8.0,85.0,26.0,67.0,57.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
SAIL,SAIL,Metals & Mining,Mar 2022,103477,82114,21363,21%,902,1698,4275,16292.0,25%,12243,29.64,4131.0,50081.0,17284.0,48885.0,120381.0,73677.0,4710.0,3757.0,38237.0,120381.0,30987.0,-3976.0,-27398.0,-387.0,27557.0,17.0,170.0,143.0,44.0,-39.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
PNC Infratech,PNCINFRA,Ports & Infrastructure,Mar 2022,7208,5674,1534,21%,87,425,390,806.0,28%,580,22.62,51.0,3577.0,4793.0,2224.0,10645.0,1482.0,0.0,424.0,8740.0,10645.0,-499.0,25.0,148.0,-326.0,-559.0,34.0,55.0,59.0,30.0,0.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Transport Corporation of India (TCI),TCI,Ports & Infrastructure,Mar 2022,3259,2847,412,13%,44,13,113,330.0,11%,293,37.45,15.0,1415.0,96.0,301.0,1827.0,801.0,7.0,193.0,826.0,1827.0,368.0,-76.0,-258.0,34.0,297.0,57.0,,,57.0,49.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Emami,EMAMILTD,FMCG,Mar 2022,3192,2254,938,29%,90,5,335,688.0,-22%,837,19.02,44.0,2032.0,282.0,692.0,3050.0,1344.0,3.0,303.0,1400.0,3050.0,644.0,-234.0,-402.0,8.0,164.0,37.0,121.0,138.0,19.0,0.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Tata Consumer Products,TATACONSUM,FMCG,Mar 2022,12425,10707,1719,14%,88,73,278,1456.0,26%,1015,9.78,92.0,15050.0,1412.0,4521.0,21075.0,12599.0,247.0,797.0,7431.0,21075.0,1516.0,-1317.0,-995.0,-796.0,1270.0,25.0,132.0,111.0,45.0,34.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
Rail Vikas Nigam (RVNL),RVNL,Ports & Infrastructure,Mar 2022,19382,18199,1183,6%,831,564,21,1430.0,22%,1110,5.32,2085.0,4240.0,6643.0,7097.0,20066.0,380.0,1.0,1810.0,17875.0,20066.0,4793.0,-1431.0,-189.0,3173.0,4678.0,18.0,,,18.0,15.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
GAIL,GAIL,Oil & Gas,Mar 2022,92770,77608,15161,16%,2925,202,2420,15464.0,20%,12304,18.4,4440.0,59674.0,9216.0,23254.0,96584.0,44572.0,15490.0,16408.0,20114.0,96584.0,9420.0,-5490.0,-3917.0,13.0,2481.0,29.0,19.0,28.0,20.0,-6.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
IRCON International,IRCON,Ports & Infrastructure,Mar 2022,7380,6795,585,8%,261,62,95,689.0,14%,592,6.3,188.0,4478.0,1399.0,8382.0,14446.0,1845.0,36.0,971.0,11594.0,14446.0,1414.0,-1241.0,671.0,844.0,1374.0,34.0,,,34.0,-128.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
KNR Constructions,KNRCON,Ports & Infrastructure,Mar 2022,3606,2804,802,22%,78,151,165,563.0,35%,366,13.58,56.0,2271.0,1464.0,1479.0,5270.0,890.0,21.0,73.0,4287.0,5270.0,-336.0,-408.0,765.0,20.0,-690.0,61.0,70.0,95.0,36.0,37.0,172.15,6.405,150.70833333333334,4.9625,3.35,98.82681956221052,78.54779768949231
